Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Time of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000047,China,1724208.68,Property Purchase,2013-01-02,22:00:00,Person_21,Luxury Goods,South Africa,FALSE,Illegal,7,9,Bank_466,Luxembourg
TX0000000048,Singapore,84887.50,Property Purchase,2013-01-02,23:00:00,Person_7362,Finance,South Africa,FALSE,Legal,3,2,Bank_191,Luxembourg
TX0000000049,UAE,270522.18,Cash Withdrawal,2013-01-03,0:00:00,Person_4829,Construction,China,FALSE,Legal,1,0,Bank_71,Switzerland
TX0000000050,Russia,1473321.90,Cash Withdrawal,2013-01-03,1:00:00,Person_2327,Oil & Gas,South Africa,FALSE,Illegal,8,1,Bank_287,Bahamas
TX0000000051,South Africa,799056.64,Property Purchase,2013-01-03,2:00:00,Person_9899,Real Estate,China,FALSE,Illegal,4,9,Bank_72,Singapore
TX0000000052,Switzerland,964719.84,Offshore Transfer,2013-01-03,3:00:00,Person_298,Construction,China,FALSE,Legal,10,2,Bank_42,Cayman Islands
TX0000000053,Brazil,917555.40,Stocks Transfer,2013-01-03,4:00:00,Person_3863,Construction,India,FALSE,Illegal,1,2,Bank_49,Switzerland
TX0000000054,South Africa,1980946.99,Cash Withdrawal,2013-01-03,5:00:00,Person_9641,Arms Trade,Brazil,FALSE,Illegal,9,5,Bank_18,Singapore
TX0000000055,China,3432916.90,Cryptocurrency,2013-01-03,6:00:00,Person_892,Casinos,China,FALSE,Illegal,9,7,Bank_174,Panama
TX0000000056,Brazil,4295546.67,Cash Withdrawal,2013-01-03,7:00:00,Person_8609,Oil & Gas,Singapore,FALSE,Legal,9,0,Bank_340,Singapore
TX0000000057,USA,1351396.96,Cryptocurrency,2013-01-03,8:00:00,Person_592,Casinos,China,TRUE,Legal,8,9,Bank_63,Cayman Islands
TX0000000058,Russia,65964.20,Property Purchase,2013-01-03,9:00:00,Person_1172,Luxury Goods,Singapore,TRUE,Legal,10,6,Bank_3,Bahamas
TX0000000059,Brazil,813473.99,Property Purchase,2013-01-03,10:00:00,Person_3900,Oil & Gas,UK,FALSE,Legal,4,0,Bank_187,Bahamas
TX0000000060,South Africa,3970617.93,Offshore Transfer,2013-01-03,11:00:00,Person_1992,Arms Trade,Russia,FALSE,Illegal,1,2,Bank_110,Bahamas
TX0000000061,USA,1581520.60,Property Purchase,2013-01-03,12:00:00,Person_5231,Oil & Gas,Russia,TRUE,Legal,4,6,Bank_479,Cayman Islands
TX0000000062,USA,1164391.12,Cryptocurrency,2013-01-03,13:00:00,Person_9220,Luxury Goods,UAE,FALSE,Illegal,7,9,Bank_418,Singapore
TX0000000063,USA,2177304.12,Stocks Transfer,2013-01-03,14:00:00,Person_6310,Real Estate,Russia,FALSE,Illegal,10,9,Bank_146,Bahamas
TX0000000064,South Africa,2524958.98,Cash Withdrawal,2013-01-03,15:00:00,Person_7570,Casinos,USA,FALSE,Illegal,3,5,Bank_337,Cayman Islands
TX0000000065,Singapore,2311265.49,Property Purchase,2013-01-03,16:00:00,Person_6019,Arms Trade,Russia,FALSE,Legal,5,4,Bank_154,Bahamas
TX0000000066,USA,4033119.74,Cash Withdrawal,2013-01-03,17:00:00,Person_9886,Finance,UK,FALSE,Illegal,2,3,Bank_296,Panama
TX0000000067,USA,1904412.45,Offshore Transfer,2013-01-03,18:00:00,Person_9544,Arms Trade,India,FALSE,Illegal,7,0,Bank_187,Bahamas
TX0000000068,Brazil,2075346.00,Property Purchase,2013-01-03,19:00:00,Person_1710,Real Estate,South Africa,FALSE,Illegal,7,4,Bank_18,Switzerland
TX0000000069,Russia,2952314.55,Offshore Transfer,2013-01-03,20:00:00,Person_9460,Oil & Gas,Russia,FALSE,Illegal,4,7,Bank_491,Bahamas
TX0000000070,Brazil,2053475.37,Cryptocurrency,2013-01-03,21:00:00,Person_5888,Luxury Goods,Switzerland,TRUE,Illegal,9,1,Bank_424,Singapore
TX0000000071,Switzerland,159132.31,Cash Withdrawal,2013-01-03,22:00:00,Person_7747,Finance,South Africa,FALSE,Illegal,1,9,Bank_146,Cayman Islands
TX0000000072,Russia,4717525.26,Offshore Transfer,2013-01-03,23:00:00,Person_4245,Construction,Singapore,TRUE,Legal,3,1,Bank_268,Bahamas
TX0000000073,South Africa,1070754.78,Cryptocurrency,2013-01-04,0:00:00,Person_3517,Oil & Gas,India,FALSE,Legal,7,6,Bank_362,Bahamas
TX0000000074,South Africa,4342358.35,Property Purchase,2013-01-04,1:00:00,Person_3557,Arms Trade,Russia,FALSE,Illegal,3,6,Bank_15,Panama
TX0000000075,China,3372288.16,Cash Withdrawal,2013-01-04,2:00:00,Person_9513,Finance,Brazil,TRUE,Legal,1,3,Bank_157,Switzerland
TX0000000076,UK,3458156.43,Stocks Transfer,2013-01-04,3:00:00,Person_2872,Finance,Brazil,FALSE,Legal,4,1,Bank_15,Cayman Islands
TX0000000077,Switzerland,1511361.95,Offshore Transfer,2013-01-04,4:00:00,Person_5913,Finance,India,FALSE,Illegal,5,1,Bank_328,Panama
TX0000000078,Brazil,683434.13,Property Purchase,2013-01-04,5:00:00,Person_981,Finance,South Africa,FALSE,Illegal,5,5,Bank_368,Switzerland
TX0000000079,Switzerland,2794778.49,Cash Withdrawal,2013-01-04,6:00:00,Person_7103,Finance,India,FALSE,Illegal,6,8,Bank_137,Bahamas
TX0000000080,India,2442766.01,Offshore Transfer,2013-01-04,7:00:00,Person_5722,Real Estate,UAE,FALSE,Illegal,9,3,Bank_432,Cayman Islands
TX0000000081,UAE,4982819.16,Cryptocurrency,2013-01-04,8:00:00,Person_4157,Oil & Gas,UAE,FALSE,Illegal,9,7,Bank_237,Singapore
TX0000000082,UAE,235725.03,Stocks Transfer,2013-01-04,9:00:00,Person_9236,Construction,UK,FALSE,Legal,7,2,Bank_226,Luxembourg
TX0000000083,UK,4909232.80,Property Purchase,2013-01-04,10:00:00,Person_508,Oil & Gas,Brazil,FALSE,Illegal,6,0,Bank_180,Switzerland
TX0000000084,USA,241596.01,Cash Withdrawal,2013-01-04,11:00:00,Person_2786,Finance,Switzerland,FALSE,Illegal,8,4,Bank_198,Singapore
TX0000000085,Brazil,1585310.55,Stocks Transfer,2013-01-04,12:00:00,Person_8997,Arms Trade,UK,FALSE,Illegal,1,6,Bank_320,Luxembourg
TX0000000086,Brazil,3788729.50,Offshore Transfer,2013-01-04,13:00:00,Person_69,Casinos,Switzerland,FALSE,Legal,9,6,Bank_462,Panama
TX0000000087,Switzerland,3558410.52,Offshore Transfer,2013-01-04,14:00:00,Person_7486,Casinos,UK,FALSE,Illegal,10,1,Bank_183,Cayman Islands
TX0000000088,South Africa,3808337.89,Stocks Transfer,2013-01-04,15:00:00,Person_4296,Oil & Gas,Brazil,FALSE,Illegal,9,6,Bank_404,Singapore
TX0000000089,India,2599743.92,Stocks Transfer,2013-01-04,16:00:00,Person_2439,Luxury Goods,Russia,FALSE,Legal,2,1,Bank_380,Singapore
TX0000000090,USA,2801902.69,Property Purchase,2013-01-04,17:00:00,Person_173,Construction,USA,FALSE,Illegal,6,7,Bank_195,Bahamas
TX0000000091,India,626582.52,Property Purchase,2013-01-04,18:00:00,Person_2660,Casinos,Singapore,FALSE,Legal,7,9,Bank_43,Panama
TX0000000092,Russia,4173901.17,Cryptocurrency,2013-01-04,19:00:00,Person_9354,Luxury Goods,Switzerland,FALSE,Illegal,9,0,Bank_87,Luxembourg
TX0000000093,India,2636848.58,Offshore Transfer,2013-01-04,20:00:00,Person_7169,Finance,UAE,TRUE,Illegal,3,9,Bank_262,Cayman Islands
TX0000000094,Brazil,2585900.06,Cryptocurrency,2013-01-04,21:00:00,Person_9009,Oil & Gas,India,FALSE,Illegal,10,8,Bank_283,Switzerland
TX0000000095,Russia,305379.72,Offshore Transfer,2013-01-04,22:00:00,Person_9788,Oil & Gas,Russia,FALSE,Legal,3,2,Bank_352,Luxembourg
TX0000000096,USA,1890855.18,Cash Withdrawal,2013-01-04,23:00:00,Person_5611,Real Estate,Switzerland,FALSE,Illegal,6,5,Bank_272,Panama
TX0000000097,Russia,2212450.54,Cryptocurrency,2013-01-05,0:00:00,Person_4479,Luxury Goods,Switzerland,FALSE,Illegal,10,0,Bank_395,Cayman Islands
TX0000000098,Switzerland,2647815.21,Stocks Transfer,2013-01-05,1:00:00,Person_4435,Construction,India,FALSE,Legal,4,3,Bank_439,Switzerland
TX0000000099,China,3892983.77,Offshore Transfer,2013-01-05,2:00:00,Person_3189,Finance,India,TRUE,Illegal,4,3,Bank_493,Cayman Islands
TX0000000100,India,1160839.81,Cryptocurrency,2013-01-05,3:00:00,Person_2291,Finance,India,FALSE,Illegal,6,7,Bank_288,Switzerland
TX0000000101,Russia,3987347.96,Stocks Transfer,2013-01-05,4:00:00,Person_2910,Arms Trade,South Africa,FALSE,Illegal,8,7,Bank_339,Luxembourg
TX0000000102,UK,3530304.21,Offshore Transfer,2013-01-05,5:00:00,Person_4769,Luxury Goods,USA,FALSE,Legal,2,9,Bank_24,Switzerland
TX0000000103,India,3736809.91,Cash Withdrawal,2013-01-05,6:00:00,Person_4542,Arms Trade,UAE,FALSE,Illegal,5,1,Bank_285,Switzerland
TX0000000104,China,2217803.60,Cash Withdrawal,2013-01-05,7:00:00,Person_3226,Casinos,India,FALSE,Illegal,8,1,Bank_378,Bahamas
TX0000000105,Russia,316641.49,Cash Withdrawal,2013-01-05,8:00:00,Person_4798,Construction,India,FALSE,Illegal,8,3,Bank_120,Luxembourg
TX0000000106,Russia,979848.73,Stocks Transfer,2013-01-05,9:00:00,Person_4977,Oil & Gas,Russia,TRUE,Illegal,8,9,Bank_35,Switzerland
TX0000000107,China,4335717.15,Cryptocurrency,2013-01-05,10:00:00,Person_9717,Casinos,South Africa,TRUE,Illegal,6,2,Bank_411,Panama
TX0000000108,China,3944972.15,Offshore Transfer,2013-01-05,11:00:00,Person_5533,Construction,UK,FALSE,Legal,8,9,Bank_165,Panama
TX0000000109,South Africa,869588.70,Stocks Transfer,2013-01-05,12:00:00,Person_661,Luxury Goods,USA,FALSE,Illegal,6,5,Bank_138,Panama
TX0000000110,Brazil,4904774.25,Property Purchase,2013-01-05,13:00:00,Person_4795,Real Estate,South Africa,TRUE,Illegal,7,9,Bank_160,Luxembourg
TX0000000111,China,2888191.42,Stocks Transfer,2013-01-05,14:00:00,Person_3072,Arms Trade,Russia,FALSE,Legal,6,8,Bank_490,Luxembourg
TX0000000112,UAE,3599502.60,Offshore Transfer,2013-01-05,15:00:00,Person_2911,Construction,Singapore,TRUE,Legal,2,9,Bank_60,Luxembourg
TX0000000113,Brazil,2488024.31,Offshore Transfer,2013-01-05,16:00:00,Person_2000,Construction,Switzerland,FALSE,Illegal,10,1,Bank_409,Switzerland
TX0000000114,Switzerland,4546033.57,Property Purchase,2013-01-05,17:00:00,Person_4923,Arms Trade,India,FALSE,Illegal,10,8,Bank_401,Luxembourg
TX0000000115,South Africa,511746.83,Property Purchase,2013-01-05,18:00:00,Person_6663,Construction,South Africa,FALSE,Illegal,5,5,Bank_173,Luxembourg
TX0000000116,India,4706996.88,Cash Withdrawal,2013-01-05,19:00:00,Person_1230,Finance,UK,TRUE,Legal,9,8,Bank_264,Switzerland
TX0000000117,China,4408358.74,Offshore Transfer,2013-01-05,20:00:00,Person_5656,Finance,USA,FALSE,Illegal,8,2,Bank_213,Singapore
TX0000000118,Singapore,640092.13,Offshore Transfer,2013-01-05,21:00:00,Person_9769,Real Estate,USA,FALSE,Legal,2,1,Bank_422,Bahamas
TX0000000119,Switzerland,2173854.25,Stocks Transfer,2013-01-05,22:00:00,Person_5905,Arms Trade,Brazil,FALSE,Illegal,5,6,Bank_258,Bahamas
TX0000000120,China,1701022.34,Cryptocurrency,2013-01-05,23:00:00,Person_8383,Real Estate,USA,FALSE,Legal,1,6,Bank_356,Singapore
TX0000000121,Switzerland,2938291.21,Property Purchase,2013-01-06,0:00:00,Person_1145,Finance,Switzerland,FALSE,Illegal,8,3,Bank_467,Luxembourg
TX0000000122,UAE,89483.03,Cash Withdrawal,2013-01-06,1:00:00,Person_5295,Luxury Goods,UK,FALSE,Illegal,10,4,Bank_100,Switzerland
TX0000000123,USA,3002499.83,Property Purchase,2013-01-06,2:00:00,Person_7378,Real Estate,USA,TRUE,Illegal,1,7,Bank_459,Singapore
TX0000000124,UAE,2837647.00,Stocks Transfer,2013-01-06,3:00:00,Person_7432,Construction,India,FALSE,Illegal,4,9,Bank_216,Switzerland
TX0000000125,USA,3336075.85,Property Purchase,2013-01-06,4:00:00,Person_8881,Finance,India,FALSE,Legal,7,0,Bank_80,Bahamas
TX0000000126,UK,2180248.90,Stocks Transfer,2013-01-06,5:00:00,Person_8385,Real Estate,Singapore,TRUE,Illegal,10,7,Bank_234,Luxembourg
TX0000000127,Switzerland,2759018.44,Cash Withdrawal,2013-01-06,6:00:00,Person_239,Oil & Gas,Brazil,FALSE,Illegal,9,0,Bank_26,Switzerland
TX0000000128,China,313188.65,Offshore Transfer,2013-01-06,7:00:00,Person_2175,Finance,Russia,FALSE,Illegal,9,4,Bank_74,Bahamas
TX0000000129,India,2476294.50,Property Purchase,2013-01-06,8:00:00,Person_3364,Real Estate,USA,FALSE,Illegal,4,9,Bank_124,Cayman Islands
TX0000000130,Russia,3402633.44,Property Purchase,2013-01-06,9:00:00,Person_5865,Luxury Goods,Singapore,FALSE,Legal,1,5,Bank_232,Panama
TX0000000131,Singapore,3382689.34,Property Purchase,2013-01-06,10:00:00,Person_5801,Construction,Russia,TRUE,Illegal,5,1,Bank_95,Panama
TX0000000132,Singapore,3048535.35,Property Purchase,2013-01-06,11:00:00,Person_206,Arms Trade,USA,FALSE,Illegal,3,4,Bank_495,Bahamas
TX0000000133,South Africa,2267348.56,Offshore Transfer,2013-01-06,12:00:00,Person_3663,Finance,China,FALSE,Illegal,5,6,Bank_391,Panama
TX0000000134,Singapore,1119119.03,Property Purchase,2013-01-06,13:00:00,Person_3060,Construction,UAE,FALSE,Illegal,2,9,Bank_442,Cayman Islands
TX0000000135,UAE,3446563.68,Cryptocurrency,2013-01-06,14:00:00,Person_1053,Construction,China,FALSE,Illegal,5,5,Bank_285,Luxembourg
TX0000000136,China,3277808.91,Offshore Transfer,2013-01-06,15:00:00,Person_803,Casinos,China,TRUE,Illegal,6,0,Bank_45,Singapore
TX0000000137,China,2106374.66,Stocks Transfer,2013-01-06,16:00:00,Person_1488,Finance,UK,FALSE,Legal,6,6,Bank_242,Switzerland
TX0000000138,China,870563.39,Stocks Transfer,2013-01-06,17:00:00,Person_5997,Construction,USA,FALSE,Legal,8,0,Bank_148,Luxembourg
TX0000000139,Singapore,4101265.11,Cash Withdrawal,2013-01-06,18:00:00,Person_7018,Luxury Goods,UAE,FALSE,Illegal,5,6,Bank_147,Luxembourg
TX0000000140,UAE,359089.23,Offshore Transfer,2013-01-06,19:00:00,Person_4929,Oil & Gas,Switzerland,TRUE,Illegal,6,6,Bank_126,Singapore
TX0000000141,Russia,4887537.30,Property Purchase,2013-01-06,20:00:00,Person_9163,Casinos,Russia,FALSE,Legal,8,1,Bank_101,Cayman Islands
TX0000000142,UAE,2773974.41,Stocks Transfer,2013-01-06,21:00:00,Person_4942,Real Estate,Brazil,FALSE,Illegal,1,0,Bank_244,Panama
TX0000000143,Russia,1314593.51,Stocks Transfer,2013-01-06,22:00:00,Person_2712,Real Estate,UK,FALSE,Illegal,9,4,Bank_244,Switzerland
TX0000000144,South Africa,1109089.71,Cash Withdrawal,2013-01-06,23:00:00,Person_6013,Finance,UK,FALSE,Legal,1,8,Bank_116,Switzerland
TX0000000145,South Africa,946205.85,Cash Withdrawal,2013-01-07,0:00:00,Person_5803,Casinos,UK,FALSE,Illegal,4,8,Bank_57,Panama
TX0000000146,India,4231632.38,Cash Withdrawal,2013-01-07,1:00:00,Person_4283,Finance,UAE,FALSE,Illegal,6,2,Bank_123,Luxembourg
TX0000000147,India,1794369.60,Cash Withdrawal,2013-01-07,2:00:00,Person_3803,Construction,Switzerland,FALSE,Illegal,5,1,Bank_276,Bahamas
TX0000000148,India,2848046.77,Cash Withdrawal,2013-01-07,3:00:00,Person_5397,Finance,India,FALSE,Illegal,6,9,Bank_13,Singapore
TX0000000149,UK,177312.49,Cryptocurrency,2013-01-07,4:00:00,Person_9023,Construction,Singapore,FALSE,Illegal,7,0,Bank_82,Luxembourg
TX0000000150,USA,413299.80,Cash Withdrawal,2013-01-07,5:00:00,Person_4019,Real Estate,Singapore,FALSE,Legal,3,3,Bank_36,Singapore
TX0000000151,UK,1014299.28,Cryptocurrency,2013-01-07,6:00:00,Person_555,Casinos,India,FALSE,Illegal,7,1,Bank_417,Singapore
TX0000000152,UAE,3868014.29,Cash Withdrawal,2013-01-07,7:00:00,Person_9297,Construction,Singapore,FALSE,Legal,5,2,Bank_50,Panama
TX0000000153,South Africa,1462085.24,Property Purchase,2013-01-07,8:00:00,Person_3690,Real Estate,Singapore,FALSE,Illegal,10,6,Bank_10,Singapore
TX0000000154,China,3257364.86,Property Purchase,2013-01-07,9:00:00,Person_1354,Real Estate,Brazil,FALSE,Legal,7,1,Bank_297,Cayman Islands
TX0000000155,China,4870071.13,Stocks Transfer,2013-01-07,10:00:00,Person_2600,Finance,South Africa,FALSE,Illegal,10,3,Bank_80,Singapore
TX0000000156,Russia,3678440.98,Stocks Transfer,2013-01-07,11:00:00,Person_226,Luxury Goods,Singapore,FALSE,Illegal,9,1,Bank_402,Cayman Islands
TX0000000157,Switzerland,4629993.51,Stocks Transfer,2013-01-07,12:00:00,Person_6505,Real Estate,USA,FALSE,Illegal,8,1,Bank_298,Cayman Islands
TX0000000158,Switzerland,4390545.99,Cash Withdrawal,2013-01-07,13:00:00,Person_3320,Arms Trade,India,FALSE,Legal,9,6,Bank_427,Panama
TX0000000159,USA,317657.85,Stocks Transfer,2013-01-07,14:00:00,Person_2341,Real Estate,USA,FALSE,Illegal,9,9,Bank_252,Switzerland
TX0000000160,China,3202900.80,Property Purchase,2013-01-07,15:00:00,Person_5022,Arms Trade,USA,TRUE,Illegal,6,5,Bank_496,Switzerland
TX0000000161,Russia,3494363.16,Property Purchase,2013-01-07,16:00:00,Person_3531,Luxury Goods,UAE,FALSE,Legal,9,9,Bank_88,Bahamas
TX0000000162,Russia,246106.25,Cash Withdrawal,2013-01-07,17:00:00,Person_2686,Real Estate,South Africa,FALSE,Illegal,4,3,Bank_323,Cayman Islands
TX0000000163,Switzerland,1658946.44,Property Purchase,2013-01-07,18:00:00,Person_3815,Finance,UK,TRUE,Illegal,1,3,Bank_365,Cayman Islands
TX0000000164,UK,1202908.98,Offshore Transfer,2013-01-07,19:00:00,Person_881,Oil & Gas,USA,TRUE,Illegal,5,7,Bank_216,Singapore
TX0000000165,China,2658981.30,Property Purchase,2013-01-07,20:00:00,Person_2334,Real Estate,Brazil,FALSE,Legal,2,3,Bank_290,Bahamas
TX0000000166,Singapore,1799638.53,Offshore Transfer,2013-01-07,21:00:00,Person_6948,Oil & Gas,USA,FALSE,Illegal,5,0,Bank_22,Luxembourg
TX0000000167,Switzerland,4502528.46,Cryptocurrency,2013-01-07,22:00:00,Person_736,Oil & Gas,South Africa,FALSE,Illegal,9,0,Bank_247,Panama
TX0000000168,Switzerland,2946942.88,Cryptocurrency,2013-01-07,23:00:00,Person_7565,Arms Trade,South Africa,FALSE,Legal,10,6,Bank_67,Luxembourg
TX0000000169,South Africa,4479438.47,Cash Withdrawal,2013-01-08,0:00:00,Person_4324,Oil & Gas,Russia,FALSE,Illegal,6,0,Bank_339,Cayman Islands
TX0000000170,India,3014579.45,Stocks Transfer,2013-01-08,1:00:00,Person_8641,Luxury Goods,Brazil,FALSE,Illegal,6,9,Bank_466,Luxembourg
TX0000000171,China,3811305.96,Cash Withdrawal,2013-01-08,2:00:00,Person_2480,Finance,UK,FALSE,Illegal,8,1,Bank_94,Switzerland
TX0000000172,UAE,1886919.01,Cryptocurrency,2013-01-08,3:00:00,Person_2642,Arms Trade,USA,FALSE,Legal,1,5,Bank_245,Luxembourg
